Country,LastUpdate,City List
Afghanistan,2006-02-15 04:44:00,Kabul
Algeria,2006-02-15 04:44:00,"Batna, Bchar, Skikda"
American Samoa,2006-02-15 04:44:00,Tafuna
Angola,2006-02-15 04:44:00,"Benguela, Namibe"
Anguilla,2006-02-15 04:44:00,South Hill
Argentina,2006-02-15 04:44:00,"Almirante Brown, Avellaneda, Baha Blanca, Crdoba, Escobar, Ezeiza, La Plata, Merlo, Quilmes, San Miguel de Tucumn, Santa F, Tandil, Vicente Lpez"
Armenia,2006-02-15 04:44:00,Yerevan
Australia,2006-02-15 04:44:00,Woodridge
Austria,2006-02-15 04:44:00,"Graz, Linz, Salzburg"
Azerbaijan,2006-02-15 04:44:00,"Baku, Sumqayit"
Bahrain,2006-02-15 04:44:00,al-Manama
Bangladesh,2006-02-15 04:44:00,"Dhaka, Jamalpur, Tangail"
Belarus,2006-02-15 04:44:00,"Mogiljov, Molodetno"
Bolivia,2006-02-15 04:44:00,"El Alto, Sucre"
Brazil,2006-02-15 04:44:00,"Alvorada, Angra dos Reis, Anpolis, Aparecida de Goinia, Araatuba, Bag, Belm, Blumenau, Boa Vista, Braslia, Goinia, Guaruj, guas Lindas de Gois, Ibirit, Juazeiro do Norte, Juiz de Fora, Luzinia, Maring, Po, Poos de Caldas, Rio Claro, Santa Brbara dOeste, Santo Andr, So Bernardo do Campo, So Leopoldo"
Brunei,2006-02-15 04:44:00,Bandar Seri Begawan
Bulgaria,2006-02-15 04:44:00,"Ruse, Stara Zagora"
Cambodia,2006-02-15 04:44:00,"Battambang, Phnom Penh"
Cameroon,2006-02-15 04:44:00,"Bamenda, Yaound"
Canada,2006-02-15 04:44:00,"Gatineau, Halifax, Lethbridge, London, Oshawa, Richmond Hill, Vancouver"
Chad,2006-02-15 04:44:00,NDjamna
Chile,2006-02-15 04:44:00,"Antofagasta, Coquimbo, Rancagua"
China,2006-02-15 04:44:00,"Baicheng, Baiyin, Binzhou, Changzhou, Datong, Daxian, Dongying, Emeishan, Enshi, Ezhou, Fuyu, Fuzhou, Haining, Hami, Hohhot, Huaian, Jinchang, Jining, Jinzhou, Junan, Korla, Laiwu, Laohekou, Lengshuijiang, Leshan"
Colombia,2006-02-15 04:44:00,"Buenaventura, Dos Quebradas, Florencia, Pereira, Sincelejo, Sogamoso"
"Congo, The Democratic Republic of the",2006-02-15 04:44:00,"Lubumbashi, Mwene-Ditu"
Czech Republic,2006-02-15 04:44:00,Olomouc
Dominican Republic,2006-02-15 04:44:00,"La Romana, San Felipe de Puerto Plata, Santiago de los Caballeros"
Ecuador,2006-02-15 04:44:00,"Loja, Portoviejo, Robamba"
Egypt,2006-02-15 04:44:00,"Bilbays, Idfu, Mit Ghamr, Qalyub, Sawhaj, Shubra al-Khayma"
Estonia,2006-02-15 04:44:00,Tartu
Ethiopia,2006-02-15 04:44:00,Addis Abeba
Faroe Islands,2006-02-15 04:44:00,Trshavn
Finland,2006-02-15 04:44:00,Oulu
France,2006-02-15 04:44:00,"Brest, Le Mans, Toulon, Toulouse"
French Guiana,2006-02-15 04:44:00,Cayenne
French Polynesia,2006-02-15 04:44:00,"Faaa, Papeete"
Gambia,2006-02-15 04:44:00,Banjul
Germany,2006-02-15 04:44:00,"Duisburg, Erlangen, Halle/Saale, Mannheim, Saarbrcken, Siegen, Witten"
Greece,2006-02-15 04:44:00,"Athenai, Patras"
Greenland,2006-02-15 04:44:00,Nuuk
Holy See (Vatican City State),2006-02-15 04:44:00,Citt del Vaticano
Hong Kong,2006-02-15 04:44:00,Kowloon and New Kowloon
Hungary,2006-02-15 04:44:00,Szkesfehrvr
India,2006-02-15 04:44:00,"Adoni, Ahmadnagar, Allappuzha (Alleppey), Ambattur, Amroha, Balurghat, Berhampore (Baharampur), Bhavnagar, Bhilwara, Bhimavaram, Bhopal, Bhusawal, Bijapur, Chandrapur, Chapra, Dhule (Dhulia), Etawah, Firozabad, Gandhinagar, Gulbarga, Haldia, Halisahar, Hoshiarpur, Hubli-Dharwad, Jaipur"
Indonesia,2006-02-15 04:44:00,"Cianjur, Ciomas, Ciparay, Gorontalo, Jakarta, Lhokseumawe, Madiun, Pangkal Pinang, Pemalang, Pontianak, Probolinggo, Purwakarta, Surakarta, Tegal"
Iran,2006-02-15 04:44:00,"Arak, Esfahan, Kermanshah, Najafabad, Qomsheh, Shahr-e Kord, Sirjan, Tabriz"
Iraq,2006-02-15 04:44:00,Mosul
Israel,2006-02-15 04:44:00,"Ashdod, Ashqelon, Bat Yam, Tel Aviv-Jaffa"
Italy,2006-02-15 04:44:00,"Alessandria, Bergamo, Brescia, Brindisi, Livorno, Syrakusa, Udine"
Japan,2006-02-15 04:44:00,"Akishima, Fukuyama, Higashiosaka, Hino, Hiroshima, Isesaki, Iwaki, Iwakuni, Iwatsuki, Izumisano, Kakamigahara, Kamakura, Kanazawa, Koriyama, Kurashiki, Kuwana, Matsue, Miyakonojo, Nagareyama, Okayama, Okinawa, Omiya, Onomichi, Otsu, Sagamihara"
Kazakstan,2006-02-15 04:44:00,"Pavlodar, Zhezqazghan"
Kenya,2006-02-15 04:44:00,"Kisumu, Nyeri"
Kuwait,2006-02-15 04:44:00,Jalib al-Shuyukh
Latvia,2006-02-15 04:44:00,"Daugavpils, Liepaja"
Liechtenstein,2006-02-15 04:44:00,Vaduz
Lithuania,2006-02-15 04:44:00,Vilnius
Madagascar,2006-02-15 04:44:00,Mahajanga
Malawi,2006-02-15 04:44:00,Lilongwe
Malaysia,2006-02-15 04:44:00,"Ipoh, Kuching, Sungai Petani"
Mexico,2006-02-15 04:44:00,"Acua, Allende, Atlixco, Carmen, Celaya, Coacalco de Berriozbal, Coatzacoalcos, Cuauhtmoc, Cuautla, Cuernavaca, El Fuerte, Guadalajara, Hidalgo, Huejutla de Reyes, Huixquilucan, Jos Azueta, Jurez, La Paz, Matamoros, Mexicali, Monclova, Nezahualcyotl, Pachuca de Soto, Salamanca, San Felipe del Progreso"
Moldova,2006-02-15 04:44:00,Chisinau
Morocco,2006-02-15 04:44:00,"Beni-Mellal, Nador, Sal"
