Country,LastUpdate,City List
Afghanistan,"""2006-02-14T23:14:00.000Z""",Kabul
Algeria,"""2006-02-14T23:14:00.000Z""","Batna, Bchar, Skikda"
American Samoa,"""2006-02-14T23:14:00.000Z""",Tafuna
Angola,"""2006-02-14T23:14:00.000Z""","Benguela, Namibe"
Anguilla,"""2006-02-14T23:14:00.000Z""",South Hill
Argentina,"""2006-02-14T23:14:00.000Z""","Almirante Brown, Avellaneda, Baha Blanca, Crdoba, Escobar, Ezeiza, La Plata, Merlo, Quilmes, San Miguel de Tucumn, Santa F, Tandil, Vicente Lpez"
Armenia,"""2006-02-14T23:14:00.000Z""",Yerevan
Australia,"""2006-02-14T23:14:00.000Z""",Woodridge
Austria,"""2006-02-14T23:14:00.000Z""","Graz, Linz, Salzburg"
Azerbaijan,"""2006-02-14T23:14:00.000Z""","Baku, Sumqayit"
Bahrain,"""2006-02-14T23:14:00.000Z""",al-Manama
Bangladesh,"""2006-02-14T23:14:00.000Z""","Dhaka, Jamalpur, Tangail"
Belarus,"""2006-02-14T23:14:00.000Z""","Mogiljov, Molodetno"
Bolivia,"""2006-02-14T23:14:00.000Z""","El Alto, Sucre"
Brazil,"""2006-02-14T23:14:00.000Z""","Alvorada, Angra dos Reis, Anpolis, Aparecida de Goinia, Araatuba, Bag, Belm, Blumenau, Boa Vista, Braslia, Goinia, Guaruj, guas Lindas de Gois, Ibirit, Juazeiro do Norte, Juiz de Fora, Luzinia, Maring, Po, Poos de Caldas, Rio Claro, Santa Brbara dOeste, Santo Andr, So Bernardo do Campo, So Leopoldo"
Brunei,"""2006-02-14T23:14:00.000Z""",Bandar Seri Begawan
Bulgaria,"""2006-02-14T23:14:00.000Z""","Ruse, Stara Zagora"
Cambodia,"""2006-02-14T23:14:00.000Z""","Battambang, Phnom Penh"
Cameroon,"""2006-02-14T23:14:00.000Z""","Bamenda, Yaound"
Canada,"""2006-02-14T23:14:00.000Z""","Gatineau, Halifax, Lethbridge, London, Oshawa, Richmond Hill, Vancouver"
Chad,"""2006-02-14T23:14:00.000Z""",NDjamna
Chile,"""2006-02-14T23:14:00.000Z""","Antofagasta, Coquimbo, Rancagua"
China,"""2006-02-14T23:14:00.000Z""","Baicheng, Baiyin, Binzhou, Changzhou, Datong, Daxian, Dongying, Emeishan, Enshi, Ezhou, Fuyu, Fuzhou, Haining, Hami, Hohhot, Huaian, Jinchang, Jining, Jinzhou, Junan, Korla, Laiwu, Laohekou, Lengshuijiang, Leshan"
Colombia,"""2006-02-14T23:14:00.000Z""","Buenaventura, Dos Quebradas, Florencia, Pereira, Sincelejo, Sogamoso"
"Congo, The Democratic Republic of the","""2006-02-14T23:14:00.000Z""","Lubumbashi, Mwene-Ditu"
Czech Republic,"""2006-02-14T23:14:00.000Z""",Olomouc
Dominican Republic,"""2006-02-14T23:14:00.000Z""","La Romana, San Felipe de Puerto Plata, Santiago de los Caballeros"
Ecuador,"""2006-02-14T23:14:00.000Z""","Loja, Portoviejo, Robamba"
Egypt,"""2006-02-14T23:14:00.000Z""","Bilbays, Idfu, Mit Ghamr, Qalyub, Sawhaj, Shubra al-Khayma"
Estonia,"""2006-02-14T23:14:00.000Z""",Tartu
Ethiopia,"""2006-02-14T23:14:00.000Z""",Addis Abeba
Faroe Islands,"""2006-02-14T23:14:00.000Z""",Trshavn
Finland,"""2006-02-14T23:14:00.000Z""",Oulu
France,"""2006-02-14T23:14:00.000Z""","Brest, Le Mans, Toulon, Toulouse"
